0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:10:12 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 17024
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:10:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:10:23 +0530] "GET /project_3/ctl/UserCtl?id=23 HTTP/1.1" 200 16947
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:10:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:11:20 +0530] "GET /project_3/ctl/FacultyListCtl HTTP/1.1" 200 17209
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:11:20 +0530] "GET /project_3/img/welc.jpg HTTP/1.1" 200 137385
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:12:21 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18228
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:12:26 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 16622
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:12:35 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 18519
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:12:45 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:12:45 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:12:45 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:12:45 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:12:45 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:24 +0530] "GET /project_3/ctl/MyProfileCtl HTTP/1.1" 200 16390
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:27 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7484
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:41 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:44 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3747
